ID,Content
1,"한때 숲은 완벽하게 단풍이 들어 있었다. 은행잎의 노란색, 단풍나무의 붉은색. 
천 가지 나무들이 만 가지 색으로 물들어 있었다. 
바람이 뒤쪽에서 불어와 초원을 가로질러 숲 속으로 헤치고 들어갔다. 
문득 시선을 돌리니, 자작나무의 나뭇잎 한 장이 바람에 실려 하늘을 날고 있었다. 
잎은 시시각각 제멋대로 방향을 바꾸는 바람에 흔들리며 하늘을 날고 땅 위를 굴렀다. 그러다가 두 번 가볍게 튀어 오른 다음 가장 가까이 피어 있는 청보라색 꽃 위에 떨어졌다. 

<숲에 소원을 빌어요/이누이 루카 지음>.
"
2,하루 종일 구름이 끼고 날씨가 흐렸습니다.
3,공원에서 시간을 보내고 맑은 날씨를 즐겼습니다.
4,비가 오는 차가운 날이었습니다.
5,바람이 하루 종일 불어서 다소 모험적인 날이었습니다.
,
6,"늦여름의 햇빛은 여전히 강렬해서 지면에 새까만 그림자를 드리우고 있다. 짙푸른 초목이 빼곡하니 무성했다.
밖에서는 바람이 부는지 나무들이 흔들리고 있다.
천장 가까이 달린 선풍기가 보내주는 미지근한 바람이 갑자기 의식을 파고 들었다.
가게 안에는 에어컨도 없었지만 지붕 하나 차이로 느낌이 확연히 달랐다.
한 걸음 밖으로 나오자 팔월에 걸맞은 햇빛이 눈과 피부를 찔렀다.
손으로 이마에 그늘을 만들어 침침한 곳에 익숙해져 있던 눈을 가렸다.
<야경/요네자와 호노부>"
7,test본문25
8,"사람은 한 명도 없었고 달리 움직이는 것도 없었다.
다만 기울어진 해를 등지고 붉게 빛나는 거대한 구조물이 서 있었다.
사람이 사는 곳일까?
글쎄, 그렇게 보기에는 지붕이 뻥 뚫렸고 입구도 없는데?
불타는 후광을 인 검은 구조물은 다소 불길하면서도 신비롭게 보였다. 
더운 바람이 불어오자 모래 날리는 소음이 귓가를 긁었다. "
9,"커튼 사이로 스며든 햇살은 바닥에 긴 그림자를 만들어냈고, 그 그림자는 바람에 의해 살짝 흔들려 했다. 이 모든 것이 마치 나만의 작은 갤러리에서 벌어지는 전시회처럼 느껴졌다.

"
10,"-퐁 하고 마개가 빠지는 듯한 소리에 이어 대량의 물이 배수구로 빨려 들어가는 소리를 들으며 엘리자베스는 눈을 떴다. 물에 잠겨 있던 바닥에 누워 있던 그녀는, 멍한 머리로 욕실 안을 둘러봤다.
파란 바다와 새하얀 모래사장은 물론이거니와 벽에 크레용으로 그려져 있던 태양과 하얀 구름, 갈매기들에 이르기까지 모조리 흔적조차 없이 말끔히 사라져 버렸다. 
꿈이었다고 생각해야 그나마 믿음이 갈 정도였다.
<파우스트의 악몽/쿠로카와 미노루, 타카사키 토오루>"
11,"늦여름의 햇빛은 여전히 강렬해서 지면에 새까만 그림자를 드리우고 있다. 짙푸른 초목이 빼곡하니 무성했다.
밖에서는 바람이 부는지 나무들이 흔들리고 있다.
천장 가까이 달린 선풍기가 보내주는 미지근한 바람이 갑자기 의식을 파고 들었다.
가게 안에는 에어컨도 없었지만 지붕 하나 차이로 느낌이 확연히 달랐다.
한 걸음 밖으로 나오자 팔월에 걸맞은 햇빛이 눈과 피부를 찔렀다.
손으로 이마에 그늘을 만들어 침침한 곳에 익숙해져 있던 눈을 가렸다."
12," ""가을이 깊어가면서 숲은 더욱 색색깔로 물들어 갔다. 나무 사이사이로 비치는 햇살이 길을 밝혀주었고"
13," ""비 오는 날의 생각"
14," ""겨울의 문턱에서 마지막 가을의 정취를 느꼈다. 차가운 공기와 따스한 햇살이 조화를 이루며"
15,Test1
16,Test2
17,Test3
18,Test4
19,"최근에는 새로 시작한 버섯 키우기 게임에 푹 빠져있다. 이 게임은 다양한 종류의 버섯을 키우고 관리하면서 농장을 발전시키는 내용인데, 생각보다 재미있고 시간 가는 줄 모르고 한다. 게임 속에서 버섯들이 자라는 걸 보는 것이 의외로 매우 만족스럽다.

동시에, 날씨가 매우 추워진 탓에 감기에 걸릴까 봐 걱정이다. 오늘 아침에는 코가 막히기 시작했고, 몸도 조금씩 으슬으슬 춥게 느껴진다. 따뜻하게 옷을 입고, 비타민을 챙겨 먹어야겠다."
